split,problem_id,beam_search,best_of_n,map_elites,mcts
matsci,MatSci9,1.556788617875921,0.5311592359117281,7.066264603641952,1.9801503221495902
phys_osc,PO0,3.241559538169537,2.952952053457091,4.14967916544609,
phys_osc,PO1,2.992462619102064,1.2461529871130306,4.75135719317594,
phys_osc,PO10,0.9156599971508301,0.5786472250245982,8.99993104028948,
phys_osc,PO11,4.397989595071489,2.9572523154592005,6.346756577786663,
phys_osc,PO12,1.9902165795298195,1.2060479703245814,2.401656637933826,
phys_osc,PO13,4.029203936846962,3.231650007223636,4.297605482076151,
phys_osc,PO14,5.405508252024524,4.1772240252157316,5.478063460131918,
phys_osc,PO15,2.8072745355778266,0.7557096083347917,3.5800598884193735,
phys_osc,PO16,4.698411643742293,4.7764333456499966,4.783073113581158,
phys_osc,PO17,6.867138899306812,1.4909162923032038,6.955502769816735,
phys_osc,PO18,8.979797164160786,6.965872780949126,6.766013854665374,
phys_osc,PO19,4.029174055101425,3.6036553244958087,4.3015347671756965,
phys_osc,PO2,3.9813127808907587,3.718047493463213,4.642757326466001,
phys_osc,PO20,4.007202307793784,2.911632883265877,3.863266293850572,
phys_osc,PO21,1.934574416476486,1.558123373025511,3.590201686555175,
phys_osc,PO22,6.674543577473959,6.289546631244754,7.640466292582623,
phys_osc,PO23,2.3162150454928336,1.7102187660264663,4.2229160965738695,
phys_osc,PO24,4.044878104631903,3.215193419160841,8.97826492204569,
phys_osc,PO25,8.108623015379544,8.115710694402095,8.999724680488013,
phys_osc,PO26,3.734537051204851,1.837044884399327,4.027561870936557,
phys_osc,PO27,5.632876813724781,4.446760014051151,6.390249893466269,
phys_osc,PO28,6.21734011414311,6.042355119209644,6.337320456444086,
phys_osc,PO29,4.177768200208841,3.323059725665915,4.337974223033926,
phys_osc,PO3,8.999191242895224,8.680587009108214,8.999211171389824,
phys_osc,PO30,6.11377533594722,5.356492696019496,6.47139200154425,
phys_osc,PO31,4.723104139658392,4.406422746506121,4.724347882233041,
phys_osc,PO32,4.597237114713592,4.2102216032339825,7.126385943919494,
phys_osc,PO33,5.78183156370965,5.650714163055705,8.322222248323211,
phys_osc,PO34,6.9316115808846535,6.215742763783744,7.057179555593202,
phys_osc,PO35,5.0482712251827895,2.3214147193042924,5.247658786880663,
phys_osc,PO36,6.685990864988964,3.0161216968233022,8.936003391304759,
phys_osc,PO37,4.142145727538292,2.409783620773771,8.760810757295728,
phys_osc,PO38,4.331538466411472,3.22059706956755,3.5768006877871468,
phys_osc,PO39,7.593772895059375,2.286511386116471,8.623619842442176,
phys_osc,PO4,4.372401187683122,4.4097139131560485,4.736661936140138,
phys_osc,PO40,2.0795998921672725,1.4051234389329352,2.491286474919244,
phys_osc,PO41,4.658310864645651,4.669810957217472,5.014959915326863,
phys_osc,PO42,7.300010864193944,6.132722326161772,7.723502153139313,
phys_osc,PO43,4.4414194791418735,3.493537897326778,5.625886223542176,
phys_osc,PO5,5.647574450365465,5.730320742487931,6.02458386676476,
phys_osc,PO6,5.164742600152817,4.564864124882263,8.10615756759611,
phys_osc,PO7,2.1462863989456373,1.7836080073381033,3.6258995832639958,
phys_osc,PO8,2.77971887713093,2.3457915344364504,3.6910381627216005,
phys_osc,PO9,3.416718438882802,1.4416178732370648,4.826044860556494,
