split,problem_id,problem_index,strategy,strategy_raw,combined_score,mse_train_score,raw_mse_train,negative_mse,iteration,generation,can_run,optimization_success,program_id,parent_id,result_file
phys_osc,PO29,29,map_elites,openevolve,4.337974223033926,,,-4.592152687274559e-05,149,5,,False,a23ce7fa-5db3-46b5-b06c-37f3f425706c,3e0dc1da-0647-4168-a62a-b1cb520af4a8,problems/phys_osc/PO29/openevolve_output/best/best_program_info.json
phys_osc,PO30,30,beam_search,beam_search,6.11377533594722,,,-7.685284206228023e-07,57,7,,False,26c41446-804e-4217-96aa-03a4577f8930,4c0b1762-b91d-40a9-88ab-882064cb9ee2,problems/phys_osc/PO30/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO30,30,best_of_n,best_of_n,5.356492696019496,,,-4.399553486407223e-06,9,2,,False,53013cc2-728e-43fa-851e-546f8217e72d,0ff68af1-d72a-4b0a-9f7e-4460247d1362,problems/phys_osc/PO30/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO30,30,map_elites,openevolve,6.47139200154425,,,-3.3675983083960386e-07,163,7,,False,db0c993e-7d07-4fd7-8ae6-5c87b95d9077,1c6ab935-9500-480f-80fc-6141597f06ce,problems/phys_osc/PO30/openevolve_output/best/best_program_info.json
phys_osc,PO31,31,beam_search,beam_search,4.723104139658392,,,-1.8917899071644176e-05,67,10,,False,4c4a1eb8-fd00-4558-b5ac-c2fb7d627f61,05c1fd00-f4c4-4c1a-8ca4-7a609191ef37,problems/phys_osc/PO31/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO31,31,best_of_n,best_of_n,4.406422746506121,,,-3.922529169307661e-05,5,1,,False,4f66280a-cfa2-45e6-be5b-2e33302ec543,901718c0-2c5a-41d5-b5ca-1f0fd354b40b,problems/phys_osc/PO31/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO31,31,map_elites,openevolve,4.724347882233041,,,-1.8863796198736843e-05,171,3,,False,d28223cc-798b-4200-a1fa-9b56e7efbb4e,dd3fafb3-ac51-4e57-9a4d-8dff3f1bbac8,problems/phys_osc/PO31/openevolve_output/best/best_program_info.json
phys_osc,PO32,32,beam_search,beam_search,4.597237114713592,,,-2.5278174353190076e-05,61,8,,False,0460ab45-99b3-4605-95d8-cb69e02ba25c,45a392b7-5d46-49cb-9a44-b38fc2907b44,problems/phys_osc/PO32/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO32,32,best_of_n,best_of_n,4.2102216032339825,,,-6.162704581653307e-05,9,2,,False,6551f050-e874-4321-b403-40da373a6e14,f7d589b1-13ef-4b45-9c7c-054cbf2cb490,problems/phys_osc/PO32/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO32,32,map_elites,openevolve,7.126385943919494,,,-7.375049210212031e-08,175,3,,False,83c7acb1-8224-40d4-bf61-9d8e1b3c1170,27a1e51a-1826-483d-be17-1c5382d29008,problems/phys_osc/PO32/openevolve_output/best/best_program_info.json
